iter	Logloss
0	0.625872664
1	0.5824317435
2	0.5454019002
3	0.5172654415
4	0.495262522
5	0.4796707864
6	0.4668744946
7	0.4568918331
8	0.449741981
9	0.4425585265
10	0.4350477853
11	0.4318066937
12	0.4281366845
13	0.4257943096
14	0.4226905873
15	0.420582453
16	0.4200143742
17	0.4179860744
18	0.4156608145
19	0.4138090597
20	0.4123388709
21	0.409575662
22	0.4088890098
23	0.4084543765
24	0.4081430123
25	0.4071949237
26	0.4063642701
27	0.4056926347
28	0.4045675397
29	0.403746436
30	0.4031219853
31	0.4024028965
32	0.4016347438
33	0.4009598416
34	0.4002256499
35	0.4001147116
36	0.3991563357
37	0.3990818368
38	0.3985773113
39	0.3982740269
40	0.3970601061
41	0.3967209603
42	0.3960430278
43	0.3953428115
44	0.3951315998
45	0.3942939924
46	0.3937292149
47	0.3924972962
48	0.3920381158
49	0.3915249703
50	0.3911540392
51	0.3911338824
52	0.3903349858
53	0.3899705161
54	0.3895956732
55	0.3888495788
56	0.3883276709
57	0.387664934
58	0.386820942
59	0.3863838691
60	0.3862156316
61	0.3855599076
62	0.3845179091
63	0.3842105236
64	0.3832661571
65	0.3827783882
66	0.3815715579
67	0.3807775003
68	0.3802510617
69	0.3795240374
70	0.3788289053
71	0.3781705731
72	0.3779311085
73	0.377491513
74	0.3772634875
75	0.3766818656
76	0.3761238457
77	0.3759889131
78	0.3751595931
79	0.3741783734
80	0.3736695326
81	0.3735122665
82	0.3725049009
83	0.3717981886
84	0.3717683091
85	0.3712760446
86	0.3705905176
87	0.3700865939
88	0.3697436373
89	0.3693205277
90	0.3685131977
91	0.3677105683
92	0.3672576409
93	0.3668311555
94	0.3660656013
95	0.3654410622
96	0.3648935836
97	0.3647413618
98	0.3646506359
99	0.3636726372
100	0.3630741483
101	0.3624397444
102	0.3618265324
103	0.3610554653
104	0.3602006299
105	0.3596351841
106	0.3587613783
107	0.3580382571
108	0.3577380601
109	0.357416657
110	0.356974656
111	0.355982244
112	0.3557216878
113	0.3551654258
114	0.3543158631
115	0.3540135406
116	0.3533460272
117	0.3520605193
118	0.351701443
119	0.3511237293
120	0.3504658328
121	0.3501319515
122	0.3498580075
123	0.3493687544
124	0.3487612726
125	0.3479011431
126	0.3471018924
127	0.345929063
128	0.3448965947
129	0.3444235221
130	0.3435710655
131	0.343004402
132	0.3423529893
133	0.3418424049
134	0.3410695761
135	0.3406689711
136	0.339893666
137	0.3396252149
138	0.3389423486
139	0.3382139303
140	0.3374723416
141	0.3369453706
142	0.3365011936
143	0.3354991871
144	0.3351434823
145	0.3341034303
146	0.3337952592
147	0.3332623851
148	0.3329452992
149	0.3324794361
150	0.3315997817
151	0.3308734668
152	0.3301688696
153	0.3296258736
154	0.3288184174
155	0.3280049421
156	0.327271453
157	0.3269535632
158	0.3264941918
159	0.3260119562
160	0.3254792389
161	0.3247767176
162	0.3240128373
163	0.3236760525
164	0.3232661169
165	0.3226426699
166	0.3222177865
167	0.3219199864
168	0.3215703551
169	0.3208922314
170	0.3201033734
171	0.3195735136
172	0.3189918398
173	0.3185116501
174	0.3181656472
175	0.3174635942
176	0.3171100169
177	0.316719429
178	0.3165444758
179	0.3159903853
180	0.3152331386
181	0.3149051046
182	0.3146262184
183	0.3142814016
184	0.3140463739
185	0.3139156494
186	0.3134794879
187	0.3126593286
188	0.3120878787
189	0.3117086742
190	0.3113698449
191	0.3111457189
192	0.3104410812
193	0.3097614726
194	0.3093746632
195	0.3087355215
196	0.3080607674
197	0.3075856989
198	0.3071981561
199	0.3066437927
200	0.3061303324
201	0.3056239366
202	0.3053518251
203	0.304749365
204	0.3042245182
205	0.3034583781
206	0.3029102259
207	0.3026303998
208	0.3021364515
209	0.3016427726
210	0.3011190982
211	0.3007272864
212	0.3001962036
213	0.2992767958
214	0.2987793121
215	0.2985476714
216	0.2980447009
217	0.2978918897
218	0.2976562333
219	0.2968312211
220	0.2964482622
221	0.296202803
222	0.2955126258
223	0.2949073715
224	0.2942987085
225	0.2939190856
226	0.2933517911
227	0.2931081027
228	0.2926181182
229	0.2921964768
