iter	Passed	Remaining
0	264	131936
1	360	89789
2	411	68242
3	471	58494
4	524	51943
5	595	49004
6	677	47723
7	736	45272
8	804	43898
9	860	42158
10	910	40462
11	967	39327
12	1025	38416
13	1088	37783
14	1211	39160
15	1261	38172
16	1320	37518
17	1374	36800
18	1439	36435
19	1527	36667
20	1595	36400
21	1664	36159
22	1720	35686
23	1787	35450
24	1838	34938
25	1887	34416
26	1937	33936
27	2001	33738
28	2056	33403
29	2113	33111
30	2151	32546
31	2200	32188
32	2255	31921
33	2306	31608
34	2357	31317
35	2410	31070
36	2461	30798
37	2516	30592
38	2570	30379
39	2626	30205
40	2644	29606
41	2691	29351
42	2741	29136
43	2795	28972
44	2849	28808
45	2909	28710
46	2959	28520
47	3015	28398
48	3075	28310
49	3127	28147
50	3180	27998
51	3238	27901
52	3290	27754
53	3349	27667
54	3413	27616
55	3463	27460
56	3515	27319
57	3570	27209
58	3624	27091
59	3685	27025
60	3743	26941
61	3816	26962
62	3882	26929
63	3906	26611
64	3930	26305
65	3996	26281
66	4053	26197
67	4106	26090
68	4142	25876
69	4192	25756
70	4252	25697
71	4310	25625
72	4362	25517
73	4416	25427
74	4429	25097
75	4487	25037
76	4555	25026
77	4616	24977
78	4671	24896
79	4733	24851
80	4789	24777
81	4852	24734
82	4905	24644
83	4956	24548
84	5007	24448
85	5057	24347
86	5107	24247
87	5165	24183
88	5215	24087
89	5267	23995
90	5317	23900
91	5366	23798
92	5392	23598
93	5449	23537
94	5504	23467
95	5557	23385
96	5624	23366
97	5678	23292
98	5734	23228
99	5789	23157
100	5843	23086
101	5891	22988
102	5941	22901
103	5993	22819
104	6051	22766
105	6109	22710
106	6173	22673
107	6225	22596
