customer_id,gender,age,city,booking_source,membership_type,membership_duration_months,loyalty_member,total_visits,days_since_last_visit,avg_visit_gap_days,preferred_service,num_services_used,has_preferred_employee,employee_change_count,avg_spend_per_visit,last_visit_spend,total_spend,products_purchased,product_spend,feedback_given,avg_rating,num_complaints,offers_redeemed,appointments_cancelled,appointments_no_show,avg_advance_booking_days,sms_sent,sms_responses,sms_response_rate,referrals_made,visit_time_preference,churn_risk_category,churn
CUST00001,Female,20,Nagpur,AI_Calling,None,,0,16,49,40,Threading,4,0,1,788.58,473.7,12617.28,1,780.32,0,3.6,2,0,2,0,1,5,3,0.6,0,Weekend,High,1
CUST00002,Female,28,Mumbai,Phone_Call,Silver,6.0,1,1,242,14,Waxing,4,0,6,316.55,267.24,316.55,2,54.14,0,2.1,1,1,0,0,6,6,3,0.5,1,Evening,High,1
CUST00003,Male,41,Latur,AI_Calling,Gold,7.0,1,1,143,49,Cleanup,2,0,0,733.08,647.25,733.08,0,0.0,1,3.2,0,1,0,0,4,9,3,0.33,1,Evening,Low-Medium,0
CUST00004,Female,22,Kolhapur,Walk_In,Silver,1.0,1,2,126,20,Cleanup,4,0,1,722.89,467.23,1445.78,1,554.1,1,5.0,0,1,0,0,0,7,2,0.29,0,Weekend,Low-Medium,0
CUST00005,Female,24,Solapur,AI_Calling,Gold,3.0,1,2,133,29,Waxing,2,1,1,1080.18,831.56,2160.36,1,755.1,1,3.6,0,4,2,0,10,7,2,0.29,2,No_Preference,Low-Medium,0
CUST00006,Female,32,Pune,Referral,None,,0,5,198,61,Massage,4,0,1,615.08,377.6,3075.4,0,0.0,1,4.1,1,3,0,2,4,7,5,0.71,1,Morning,Medium,1
CUST00007,Female,41,Nagpur,AI_Calling,None,,0,6,89,46,Facial,3,1,1,542.48,343.72,3254.88,0,0.0,0,3.6,1,2,0,2,0,9,0,0.0,1,Morning,High,1
CUST00008,Male,34,Aurangabad,Social_Media,Gold,3.0,1,2,179,75,Waxing,3,1,0,609.79,419.57,1219.58,1,526.32,0,5.0,0,0,1,0,4,6,0,0.0,0,Afternoon,Medium,1
CUST00009,Female,38,Nagpur,Walk_In,Platinum,10.0,1,1,108,36,Waxing,5,0,0,515.16,456.99,515.16,3,183.08,1,3.7,1,1,0,1,4,12,5,0.42,1,Weekend,Medium,1
CUST00010,Male,34,Nashik,WhatsApp,None,,0,23,0,20,Massage,1,0,3,823.32,1017.0,18936.36,1,434.99,1,5.0,2,2,0,0,2,9,2,0.22,0,Afternoon,Low,0
CUST00011,Male,44,Akola,AI_Calling,Silver,9.0,1,16,68,48,Waxing,5,1,0,726.47,1085.11,11623.52,1,725.87,1,4.4,0,3,1,3,6,6,2,0.33,0,Weekend,Low,0
CUST00012,Female,39,Mumbai,Online_App,Platinum,2.0,1,6,199,61,Threading,5,0,1,150.0,220.94,900.0,3,387.91,0,4.7,2,1,2,0,8,7,5,0.71,4,Evening,Low,0
CUST00013,Male,42,Nagpur,AI_Calling,Gold,9.0,1,5,334,7,Detan,4,0,2,1160.62,1499.55,5803.1,1,452.95,0,3.4,0,1,0,0,9,8,4,0.5,0,Weekend,Low,0
CUST00014,Male,19,Latur,Walk_In,Silver,6.0,1,1,22,14,Cleanup,3,1,0,1023.51,1303.37,1023.51,1,77.51,0,2.9,0,1,1,0,2,6,2,0.33,1,Weekend,Medium,1
