customer_id,gender,age,city,booking_source,membership_type,membership_duration_months,loyalty_member,total_visits,days_since_last_visit,avg_visit_gap_days,preferred_service,num_services_used,has_preferred_employee,employee_change_count,avg_spend_per_visit,last_visit_spend,total_spend,products_purchased,product_spend,feedback_given,avg_rating,num_complaints,offers_redeemed,appointments_cancelled,appointments_no_show,avg_advance_booking_days,sms_sent,sms_responses,sms_response_rate,referrals_made,visit_time_preference,churn_risk_category,churn
CUST00001,Male,47,Nashik,Walk-in,Gold,19,1,26,223,14,Detan,5,1,4,1144.69,1246.54,29890.75,1,413.18,1,4.1,0,4,0,2,1,8,7,0.88,5,No_Preference,Medium,0
CUST00002,Female,35,Amravati,Website,Silver,8,0,2,389,180,Manicure,4,1,3,863.8,697.33,1930.93,2,700.48,1,4.4,1,6,0,0,10,17,7,0.41,3,No_Preference,Medium,0
CUST00003,Female,59,Pune,Walk-in,Silver,15,1,6,174,60,Pedicure,2,0,3,880.13,907.93,5250.68,4,2599.59,1,2.8,1,2,2,2,6,4,1,0.25,4,Evening,Medium,0
CUST00004,Female,28,Kolhapur,Website,Gold,20,1,19,303,19,Facial,6,0,2,632.47,831.81,11100.62,5,1855.81,0,4.6,0,2,1,1,11,5,4,0.8,1,No_Preference,Medium,0
CUST00005,Male,46,Akola,Website,Silver,11,0,14,363,26,Blowout,2,0,1,428.73,369.01,5681.29,0,0,1,4,1,6,0,1,8,4,3,0.75,5,Evening,Medium,1
CUST00006,Male,34,Nashik,Walk-in,Gold,35,1,26,209,14,Blowout,1,1,2,646.29,506.58,18809.24,0,0,1,2.6,3,2,1,0,12,18,12,0.67,4,Morning,Medium,0
CUST00007,Male,43,Mumbai,Website,Silver,7,0,9,194,40,Blowout,3,0,1,821.75,813.65,7840.98,2,1584.86,1,3.2,3,5,3,0,11,3,2,0.67,5,Morning,Medium,0
CUST00008,Female,40,Mumbai,Website,Silver,2,0,8,449,45,Pedicure,6,0,1,617.01,782.18,4479.2,5,1663.81,1,2.7,2,2,1,2,12,8,0,0,5,Evening,High,1
CUST00009,Female,37,Latur,AI Calling,Silver,8,0,12,429,30,Manicure,7,0,1,775.11,925.39,8885.44,0,0,1,4,0,1,4,2,5,8,6,0.75,5,No_Preference,High,1
CUST00010,Female,62,Pune,Website,Platinum,52,1,39,400,9,Blowout,5,1,1,2312.33,3232,77542.4,3,2193.49,1,3.7,0,6,0,1,5,8,6,0.75,3,No_Preference,Medium,1
CUST00011,Male,19,Aurangabad,Website,Silver,19,1,9,371,40,Keratin,1,0,0,750.71,988.09,7043.36,0,0,1,4,0,1,3,0,6,15,4,0.27,5,Morning,Medium,0
CUST00012,Female,41,Kolhapur,Website,Silver,23,1,2,296,180,Hair_Color,6,1,2,459.64,376.89,884.14,1,743.8,1,4.3,1,1,2,0,8,14,7,0.5,1,Evening,Medium,0
CUST00013,Female,48,Nashik,Website,Gold,23,1,23,415,15,Pedicure,3,1,0,1049.36,1313.34,20911.16,3,2274.28,0,4.4,1,7,1,1,5,6,3,0.5,2,Morning,High,1
CUST00014,Male,44,Nashik,Website,Silver,16,1,9,253,40,Keratin,3,0,1,778.28,936.03,7686.61,4,1027.96,0,4.6,1,5,4,0,13,6,0,0,5,Weekend,Medium,0
CUST00015,Male,19,Aurangabad,AI Calling,Silver,8,0,13,212,28,Pedicure,7,1,4,434.92,363.95,5539.05,2,803.92,1,3.6,1,3,0,2,12,14,1,0.07,1,Afternoon,Medium,0
CUST00016,Male,31,Aurangabad,Website,Silver,8,0,2,420,180,Facial,7,0,3,823.52,1026.3,1769.25,4,1651.43,0,4.8,1,5,0,1,3,8,7,0.88,2,No_Preference,Medium,1
CUST00017,Male,21,Amravati,AI Calling,Silver,11,0,9,353,40,Massage,7,1,2,370.75,322.49,3437.46,3,1788.14,0,4.1,1,4,4,0,7,7,4,0.57,3,Evening,Medium,1
CUST00018,Female,30,Akola,Website,Silver,7,0,2,357,180,Cleanup,5,0,2,761.2,775.55,1508.8,2,393.83,1,2.7,2,4,4,0,4,7,4,0.57,3,Weekend,High,1
CUST00019,Female,53,Amravati,Walk-in,Silver,21,1,9,309,40,Facial,3,1,0,810.07,724.34,6425.72,0,0,1,4.1,0,5,2,2,5,17,15,0.88,5,Weekend,Medium,0
